available_ingredients,recipe_name,recipe_ingredients,instructions,
"Cabbage, Coconut, Green Chilies, Mustard Seeds, Curry Leaves",Cabbage Poriyal,"Cabbage, Coconut, Green Chilies, Mustard Seeds, Curry Leaves","Finely chop cabbage and sauté with mustard seeds, chilies, and curry leaves. Add grated coconut and serve.",
"Elephant Yam, Tamarind, Jaggery, Red Chilies, Curry Leaves",Senai Kizhangu Kuzhambu,"Elephant Yam, Tamarind, Jaggery, Coconut, Mustard Seeds, Curry Leaves",Cook elephant yam in tamarind gravy with spices. Serve as a side dish.,
"Colocasia (Arbi), Tamarind, Turmeric, Curry Leaves, Mustard Seeds",Seppankizhangu Curry,"Colocasia, Tamarind, Curry Leaves, Red Chilies, Mustard Seeds","Boil colocasia, peel, and sauté with spices. Serve as a side dish.",
"Cauliflower, Peas, Coconut, Mustard Seeds, Curry Leaves",Cauliflower Peas Poriyal,"Cauliflower, Peas, Coconut, Mustard Seeds, Curry Leaves, Green Chilies","Sauté cauliflower and peas with mustard seeds, curry leaves, and chilies. Add grated coconut and serve.",
"Capsicum, Coconut, Mustard Seeds, Curry Leaves, Turmeric",Kudai Milagai Poriyal,"Capsicum, Coconut, Mustard Seeds, Curry Leaves, Turmeric","Chop capsicum, sauté with mustard seeds, chilies, and curry leaves. Add grated coconut and serve.",
"Fenugreek Leaves, Toor Dal, Garlic, Mustard Seeds, Red Chilies",Vendhaya Keerai Kootu,"Fenugreek Leaves, Toor Dal, Garlic, Mustard Seeds, Red Chilies, Tamarind",Cook toor dal with fenugreek leaves. Add tamarind and temper with mustard seeds. Serve with rice.,
"Carrot, Coconut, Green Chilies, Mustard Seeds, Curry Leaves",Carrot Thoran,"Carrot, Coconut, Green Chilies, Mustard Seeds, Curry Leaves","Grate carrot, sauté with mustard seeds, curry leaves, and green chilies. Add grated coconut and serve.",
"Brinjal, Tamarind, Green Chilies, Curry Leaves, Mustard Seeds",Brinjal Gotsu,"Brinjal, Tamarind, Green Chilies, Curry Leaves, Mustard Seeds","Roast brinjal, mash, and cook with tamarind and spices. Temper with mustard seeds. Serve with pongal.",
"Snake Gourd, Coconut, Green Chilies, Mustard Seeds, Curd",Pudalangai Raita,"Snake Gourd, Coconut, Green Chilies, Mustard Seeds, Curd","Cook snake gourd, mix with curd, and temper with mustard seeds. Serve chilled.",
"Green Peas, Coconut, Mustard Seeds, Curry Leaves, Green Chilies",Pattani Sundal,"Green Peas, Coconut, Mustard Seeds, Curry Leaves, Green Chilies","Boil green peas, sauté with mustard seeds, chilies, and curry leaves. Add coconut and serve as a snack.",
"Spinach, Toor Dal, Tamarind, Garlic, Mustard Seeds, Red Chilies",Keerai Sambar,"Spinach, Toor Dal, Tamarind, Garlic, Mustard Seeds, Red Chilies",Cook toor dal with spinach and tamarind. Temper with garlic and red chilies. Serve with rice.,
"Bread, Vegetables, Butter, Green Chutney, Tomato Sauce",Veg Grilled Sandwich,"Bread, Butter, Cucumber, Tomato, Onion, Green Chutney, Tomato Sauce, Pepper","Spread green chutney and tomato sauce on bread slices. Add sliced vegetables, sprinkle pepper, grill, and serve.",
"Bread, Paneer, Vegetables, Spices",Paneer Bhurji Sandwich,"Bread, Paneer, Onion, Tomato, Green Chilies, Spices","Sauté paneer with onion, tomato, and spices. Spread on bread and grill or toast until golden brown.",
"Bread, Milk, Sugar, Dry Fruits",Bread Halwa,"Bread, Milk, Sugar, Ghee, Cashews, Raisins","Fry bread pieces in ghee, add milk and sugar. Cook until soft and garnish with dry fruits.",
"Bread, Potatoes, Spices, Green Chutney",Bread Pakora,"Bread, Potatoes, Green Chilies, Spices, Gram Flour, Green Chutney","Stuff bread with spiced mashed potatoes, dip in gram flour batter, and deep fry. Serve with chutney.",
"Bread, Cheese, Garlic, Butter",Garlic Cheese Bread,"Bread, Butter, Garlic, Cheese, Herbs","Mix garlic and butter, spread on bread, top with cheese, and bake until golden.",
"Bread, Pizza Sauce, Vegetables, Cheese",Bread Pizza,"Bread, Pizza Sauce, Vegetables (Capsicum, Onion, Corn), Mozzarella Cheese, Oregano","Spread pizza sauce on bread, top with vegetables and cheese. Bake until cheese melts.",
"Pizza Dough, Vegetables, Cheese, Pizza Sauce",Veggie Pizza,"Pizza Dough, Tomato Sauce, Mozzarella Cheese, Bell Peppers, Onion, Corn, Oregano","Roll out dough, spread sauce, add vegetables and cheese. Bake until golden and bubbly.",
"Burger Bun, Chicken Patty, Cheese, Mayonnaise",Chicken Burger,"Burger Bun, Chicken Patty, Cheese, Lettuce, Tomato, Mayonnaise","Cook chicken patty, assemble with bun, cheese, and veggies. Serve with fries or coleslaw.",
"Burger Bun, Soya Patty, Vegetables, Mayonnaise",Soya Burger,"Burger Bun, Soya Patty, Lettuce, Tomato, Onion, Mayonnaise","Fry soya patty, place it in the bun with veggies and mayo. Serve with a side of fries.",
"Pizza Base, Chocolate, Nuts",Chocolate Pizza,"Pizza Base, Chocolate Spread, Chopped Nuts, Chocolate Chips","Spread chocolate on pizza base, add nuts and chocolate chips. Bake until chocolate melts.",
"Bread, Cheese, Jalapenos, Garlic, Butter",Jalapeno Cheese Bread,"Bread, Butter, Garlic, Jalapenos, Cheese","Spread garlic butter on bread, top with cheese and jalapenos, and bake until golden.",
"Bread, Milk, Sugar, Butter, Dry Fruits",Shahi Tukda,"Bread, Milk, Sugar, Butter, Cardamom, Dry Fruits, Saffron","1. Cut bread into triangular pieces and fry in ghee until golden brown. 2. Boil milk until it thickens. 3. Add sugar, cardamom, and saffron. 4. Pour the thickened milk over the fried bread. 5. Garnish with dry fruits. Serve chilled.",
"Paneer, Flour, Cornflour, Capsicum, Onion, Spices",Chilli Paneer,"Paneer, Capsicum, Onion, Garlic, Soy Sauce, Vinegar, Cornflour, Spices","1. Cut paneer into cubes. Mix with cornflour and fry until crispy. 2. Sauté garlic, capsicum, and onion. 3. Add soy sauce, vinegar, and spices. 4. Add fried paneer and toss well. Serve hot.",
"Flour, Yeast, Mozzarella Cheese, Tomato Sauce, Vegetables",Veg Pizza,"Flour, Yeast, Mozzarella Cheese, Tomato Sauce, Bell Peppers, Onion, Olives","1. Prepare the dough using flour, yeast, water, and salt. Let it rise. 2. Roll out the dough. 3. Spread tomato sauce, add vegetables, and top with cheese. 4. Bake in a preheated oven at 200°C for 15 minutes. 5. Serve with oregano and chili flakes.",
"Burger Buns, Potatoes, Breadcrumbs, Spices",Aloo Tikki Burger,"Burger Buns, Potatoes, Breadcrumbs, Green Chilies, Onions, Mayonnaise","1. Boil and mash potatoes. 2. Add spices, green chilies, and breadcrumbs. Form patties and shallow fry. 3. Toast burger buns. 4. Assemble with mayonnaise, lettuce, and tomato. 5. Serve with fries.",
"Bread, Eggs, Milk, Butter, Vanilla, Sugar",Bread Pudding,"Bread, Eggs, Milk, Butter, Vanilla Extract, Sugar, Dry Fruits","1. Tear bread into pieces. 2. Whisk eggs, milk, sugar, and vanilla extract. 3. Mix with bread pieces and let it soak. 4. Pour into a greased baking dish. 5. Bake at 180°C for 30 minutes. Serve warm.",
"Flour, Sugar, Milk, Butter, Yeast",Donuts,"Flour, Sugar, Milk, Butter, Yeast, Vanilla, Chocolate Glaze","1. Prepare a dough using flour, yeast, milk, sugar, and butter. 2. Let it rise for 1 hour. 3. Roll and cut into donut shapes. 4. Fry until golden brown. 5. Dip in chocolate glaze and top with sprinkles.",
"Flour, Butter, Potatoes, Peas, Spices",Vegetable Puff,"Flour, Butter, Potatoes, Peas, Onion, Green Chilies, Garam Masala","1. Prepare a spicy potato and pea filling. 2. Roll out the pastry dough. 3. Place filling in the center, fold, and seal. 4. Bake at 200°C for 20 minutes until golden brown. 5. Serve with ketchup.",
"Tomato, Curd, Spices",Tomato Raita,"Tomato, Curd, Green Chilies, Coriander, Salt, Cumin","1. Chop tomatoes finely. 2. Mix with whisked curd. 3. Add salt, cumin powder, and green chilies. 4. Garnish with coriander leaves. Serve chilled.",
"Tomato, Curd, Spices",Tomato Chutney,"Tomato, Curd, Mustard Seeds, Curry Leaves, Red Chilies","1. Sauté mustard seeds, curry leaves, and red chilies in oil. 2. Add chopped tomatoes and cook until soft. 3. Add curd, salt, and cook for 5 minutes. 4. Serve with dosa or idli.",
"Bread, Tomatoes, Olive Oil, Basil",Bruschetta,"Bread, Tomatoes, Olive Oil, Garlic, Basil, Salt, Pepper","Preheat the oven to 200°C (400°F). Slice the bread into thick pieces and arrange them on a baking sheet. Drizzle with olive oil and toast in the oven until golden brown. While the bread is toasting, chop fresh tomatoes and mix with olive oil, salt, pepper, and finely chopped basil. Rub a peeled garlic clove over the toasted bread for added flavor. Top each slice with the tomato mixture and garnish with extra basil. Serve immediately.",
"Pasta, Cream, Parmesan, Black Pepper",Cacio e Pepe,"Pasta, Butter, Parmesan Cheese, Black Pepper, Salt","Boil pasta in a pot of salted water until it is al dente. Reserve a cup of the pasta water before draining. In a large skillet, melt butter over medium heat and add freshly ground black pepper. Toast the pepper lightly to release its aroma. Add the cooked pasta and a small amount of the reserved pasta water to the skillet. Gradually sprinkle grated Parmesan cheese while stirring vigorously to create a creamy sauce. Add more pasta water if needed to reach the desired consistency. Serve immediately with additional Parmesan and black pepper on top.",
"Rice, Saffron, Parmesan, White Wine",Risotto alla Milanese,"Arborio Rice, Saffron Threads, Parmesan, White Wine, Butter, Onion, Chicken Broth","Heat the chicken broth in a separate pot and keep it warm. In a large pan, melt butter and sauté finely chopped onions until translucent. Add the Arborio rice and toast it slightly until the edges become transparent. Pour in the white wine and stir until it is fully absorbed. Gradually add a ladle of warm broth at a time, stirring constantly. Continue adding broth and stirring until the rice becomes creamy and cooked through. Dissolve saffron in a small amount of warm water and add it to the risotto, giving it a vibrant golden color. Stir in grated Parmesan cheese and a final touch of butter for added richness. Serve hot.",
"Pizza Dough, Tomato Sauce, Mozzarella, Basil",Margherita Pizza,"Pizza Dough, Tomato Sauce, Fresh Mozzarella, Basil, Olive Oil, Salt","Preheat the oven to 250°C (480°F) with a pizza stone or baking sheet inside. Roll out the pizza dough on a floured surface until it reaches your desired thickness. Spread a thin layer of tomato sauce over the dough, leaving a small border for the crust. Tear fresh mozzarella into chunks and scatter it across the sauce. Place a few fresh basil leaves on top and drizzle with olive oil. Carefully transfer the pizza onto the hot baking sheet or stone and bake until the crust is golden and the cheese is bubbling. Remove from the oven and serve immediately.",
"Basil, Pine Nuts, Parmesan, Olive Oil, Garlic",Basil Pesto Pasta,"Pasta, Fresh Basil, Pine Nuts, Parmesan, Olive Oil, Garlic, Salt, Pepper","Cook the pasta in a large pot of salted boiling water until al dente. Reserve a small amount of pasta water. In a food processor, combine fresh basil, pine nuts, garlic, and grated Parmesan cheese. Gradually add olive oil while blending until the mixture becomes a smooth pesto sauce. Adjust seasoning with salt and pepper. Toss the cooked pasta with the pesto sauce, adding a splash of pasta water if needed for a smoother consistency. Serve with extra Parmesan and fresh basil leaves for garnish.",
"Eggs, Parmesan, Pancetta, Spaghetti",Spaghetti Carbonara,"Spaghetti, Eggs, Pancetta, Parmesan, Black Pepper, Salt","Boil spaghetti in salted water until al dente. In a bowl, whisk eggs with grated Parmesan and black pepper. Cook pancetta in a skillet until crispy. Drain the pasta, reserving some pasta water. Combine the pasta with the pancetta, then remove the pan from the heat. Quickly stir in the egg mixture, using the residual heat to create a creamy sauce. Add reserved pasta water if necessary. Serve with additional Parmesan and pepper.",
"Arborio Rice, Mushrooms, Garlic, White Wine, Parmesan",Mushroom Risotto,"Arborio Rice, Fresh Mushrooms, Garlic, Onion, White Wine, Parmesan, Butter, Vegetable Broth, Olive Oil","Heat vegetable broth in a pot. In a large pan, sauté garlic and chopped onions in olive oil until fragrant. Add sliced mushrooms and cook until tender. Stir in Arborio rice and toast it lightly. Pour in white wine and cook until it evaporates. Gradually add warm broth one ladle at a time, stirring constantly until the rice is creamy and cooked through. Finish with Parmesan and butter for a rich, velvety texture. Serve hot.",
"Flour, Eggs, Olive Oil, Salt",Homemade Pasta,"All-Purpose Flour, Eggs, Olive Oil, Salt","On a clean surface, create a mound of flour and make a well in the center. Crack the eggs into the well and add olive oil and a pinch of salt. Gradually mix the flour into the eggs using a fork, then knead the dough until smooth and elastic. Let it rest for 30 minutes. Roll out the dough and cut it into desired shapes for fettuccine, tagliatelle, or lasagna. Cook in boiling salted water until al dente. Serve with your favorite sauce.",
"Sushi Rice, Nori, Fish, Vegetables, Soy Sauce, Wasabi",Sushi,"Sushi Rice, Nori (Seaweed), Fresh Fish (Salmon, Tuna), Cucumber, Avocado, Soy Sauce, Wasabi, Rice Vinegar","Rinse the sushi rice thoroughly and cook it in a rice cooker. Mix rice vinegar, sugar, and salt, and stir it into the cooked rice. Place a sheet of nori on a bamboo mat, spread a thin layer of rice over it, leaving a small border. Add thin slices of fish and vegetables. Roll tightly using the mat. Slice into bite-sized pieces and serve with soy sauce, wasabi, and pickled ginger.",
"Rice, Eggs, Soy Sauce, Green Onions, Carrots, Peas",Japanese Fried Rice (Chahan),"Cooked Rice, Eggs, Soy Sauce, Green Onions, Carrots, Peas, Oil, Garlic, Salt, Pepper","Heat oil in a pan and scramble the eggs. Remove the eggs and set aside. In the same pan, sauté garlic, chopped green onions, carrots, and peas until tender. Add the cooked rice and stir-fry. Pour soy sauce over the rice and stir well. Add the scrambled eggs back into the pan and combine. Season with salt and pepper to taste. Garnish with additional green onions.",
"Tofu, Dashi, Miso Paste, Seaweed, Green Onions",Miso Soup,"tofu, Miso Paste, Dashi (Japanese Stock), Wakame (Seaweed), Green Onions","Heat dashi stock in a pot until it simmers. Add wakame and let it rehydrate. Cube the tofu and gently add it to the soup. In a separate bowl, dissolve miso paste with a bit of the hot stock, then add it back to the pot. Stir well without boiling. Garnish with chopped green onions before serving.",
"Rice, Chicken, Eggs, Onions, Dashi, Soy Sauce, Mirin",Oyakodon,"Cooked Rice, Chicken Thighs, Eggs, Onions, Dashi, Soy Sauce, Mirin, Sugar","Slice the chicken and onions. Heat dashi, soy sauce, mirin, and sugar in a pan. Add the onions and cook until soft. Place the chicken on top and cook until tender. Beat the eggs lightly and pour them over the chicken. Cover and cook until the eggs are just set. Serve over a bowl of hot rice, garnished with green onions.",
"Rice, Raw Fish, Nori, Wasabi, Soy Sauce",Chirashi Sushi,"Sushi Rice, Assorted Raw Fish (Salmon, Tuna, Shrimp), Nori, Avocado, Cucumber, Wasabi, Soy Sauce","Prepare sushi rice with rice vinegar, sugar, and salt. Spread the rice in a bowl. Slice the raw fish into thin pieces. Arrange the fish, avocado, cucumber, and other toppings over the rice. Garnish with shredded nori. Serve with soy sauce and wasabi.",
"Udon Noodles, Dashi, Soy Sauce, Green Onions, Tempura",Udon Noodle Soup,"Udon Noodles, Dashi Broth, Soy Sauce, Mirin, Tempura (Optional), Green Onions",Boil the udon noodles according to package instructions. Heat dashi broth with soy sauce and mirin in a pot. Drain the noodles and add them to the broth. Top with chopped green onions and optional tempura for extra crunch. Serve hot.,
"Rice, Coconut, Vegetables, Green Chilies, Curry Leaves",Avial," Mixed Vegetables (Carrot, Beans, Yam, Raw Banana), Grated Coconut, Curd, Green Chilies, Curry Leaves, Coconut Oil, Turmeric, Mustard","Boil the vegetables with turmeric and salt until tender. Grind grated coconut with green chilies and curd to make a coarse paste. Add the paste to the boiled vegetables and mix gently. Heat coconut oil in a pan, add mustard seeds and curry leaves for tempering. Pour over the Avial and serve.",
"Rice Flour, Coconut, Jaggery, Cardamom",Ada Pradhaman,"Rice Flour, Coconut Milk, Jaggery, Cardamom, Cashews, Raisins, Ghee","Mix rice flour with water to make a smooth dough. Spread thin layers of the dough on banana leaves, fill with a mixture of jaggery and coconut, and fold. Steam cook the filled leaves to prepare Ada. In a pot, boil coconut milk and add the Ada pieces. Stir in jaggery syrup and cardamom powder. Garnish with fried cashews and raisins. Serve warm.",
"Raw Plantains, Coconut, Turmeric, Green Chilies, Mustard",Kaaya Mezhukkupuratti,"Raw Plantains, Coconut Oil, Mustard Seeds, Turmeric, Curry Leaves, Green Chilies","Peel and cut plantains into thin strips. Heat coconut oil in a pan, add mustard seeds, curry leaves, and green chilies. Add the plantains and sprinkle turmeric and salt. Cook on medium heat until the plantains turn golden and crispy. Serve as a side dish with rice.",
"Rice, Coconut, Jaggery, Cardamom",Puttu and Kadala Curry,"Rice Flour, Grated Coconut, Salt, Water, Black Chana, Coconut, Onion, Green Chilies, Curry Leaves","Mix rice flour with water and salt to form a crumbly texture. Layer rice flour and grated coconut alternately in a Puttu maker and steam until cooked. For Kadala Curry, cook soaked black chana with turmeric and salt. Make a coconut-based masala with spices, onion, and tomatoes. Mix with the cooked chana and simmer. Serve hot with Puttu.",
"Rice, Coconut, Yogurt, Green Chilies, Mustard Seeds",Pulissery,"Buttermilk, Coconut, Cumin, Green Chilies, Turmeric, Curry Leaves, Mustard Seeds, Red Chilies","Grind coconut, cumin, and green chilies to a paste. Mix with buttermilk and turmeric. Heat this mixture gently, stirring continuously. Prepare tempering with mustard seeds, curry leaves, and dried red chilies. Pour over the Pulissery and serve with rice.",
"Rice Flour, Jaggery, Coconut, Cardamom",Unniyappam,"Rice Flour, Jaggery, Grated Coconut, Banana, Cardamom, Ghee, Baking Soda","Mash the banana and mix it with rice flour, jaggery syrup, grated coconut, and cardamom powder. Add a pinch of baking soda for fluffiness. Heat a special Unniyappam pan with oil or ghee. Pour batter into the molds and fry until golden brown on both sides. Serve as a snack or dessert.",
"Raw Banana, Coconut, Curry Leaves, Turmeric",Kaaya Varuthathu,"Raw Banana (Nendran), Coconut Oil, Turmeric, Salt, Red Chili Powder",Peel the raw banana and slice it thinly. Soak the slices in water with turmeric and salt. Drain and dry the slices. Heat coconut oil in a pan and fry the banana slices until crispy. Sprinkle red chili powder and salt while frying. Serve as a snack or side dish.,
"Rice, Yogurt, Ginger, Green Chilies, Curry Leaves",Moru Curry,"Yogurt, Coconut, Cumin Seeds, Green Chilies, Curry Leaves, Turmeric, Mustard Seeds, Garlic","Beat the yogurt and mix with turmeric and salt. Grind coconut, cumin seeds, and green chilies to a paste. Add this paste to the yogurt mixture. Heat coconut oil, add mustard seeds, curry leaves, garlic, and dry red chilies. Pour the tempered spices over the curry and gently heat without boiling. Serve with rice.",
"Toor Dal, Tamarind, Tomatoes, Mustard Seeds",Pappu Charu,"p Toor Dal, Tamarind, Tomatoes, Green Chilies, Curry Leaves, Mustard Seeds, Turmeric, Red Chilies","Cook toor dal until soft. Extract tamarind juice. Heat oil in a pot, add mustard seeds, red chilies, and curry leaves. Add chopped tomatoes and green chilies. Pour in the tamarind juice, add turmeric, and salt. Mix in the cooked dal and simmer. Garnish with coriander and serve with rice.",
"Eggplant, Tamarind, Jaggery, Mustard Seeds",Gutti Vankaya Curry,"Baby Eggplants, Tamarind, Jaggery, Coconut, Peanuts, Mustard Seeds, Curry Leaves","Slit the eggplants and keep the stems intact. Prepare a stuffing with roasted coconut, peanuts, tamarind, and jaggery. Fill the eggplants with the mixture. Heat oil in a pan, add mustard seeds and curry leaves. Place the stuffed eggplants in the pan, cover, and cook on low heat until tender. Serve with rice.",
"Chicken, Red Chilies, Curry Leaves, Ginger-Garlic Paste",Andhra Chicken Curry,"Chicken, Onions, Tomatoes, Ginger-Garlic Paste, Red Chili Powder, Turmeric, Curry Leaves","Heat oil in a pot, add onions and sauté until golden brown. Add ginger-garlic paste and cook until fragrant. Add chopped tomatoes, red chili powder, turmeric, and salt. Cook until the oil separates. Add chicken pieces and cook on medium heat. Garnish with coriander leaves and serve hot.",
"Spinach, Lentils, Tamarind, Green Chilies",Palakura Pappu (Spinach Dal),"Spinach, Toor Dal, Green Chilies, Tamarind, Mustard Seeds, Curry Leaves, Garlic","Cook toor dal until soft. Add washed spinach and green chilies. Extract tamarind juice and add to the dal. Heat oil in a small pan, add mustard seeds, garlic, and curry leaves. Pour the tempering into the dal. Mix well and serve with rice and ghee.",
"Rice Flour, Jaggery, Cardamom, Ghee",Pootharekulu," Rice Flour, Jaggery, Cardamom Powder, Ghee",Prepare thin rice sheets using rice flour batter on a flat pan. Brush each sheet with ghee and sprinkle jaggery and cardamom powder. Roll or fold the sheets to form delicate layers. Serve as a traditional sweet.,
"Green Gram, Jaggery, Ghee, Cardamom",Pesara Pappu Payasam,"Green Gram (Moong Dal), Jaggery, Coconut Milk, Cardamom, Cashews, Raisins, Ghee",Roast moong dal until golden brown and cook it with water until soft. Add jaggery syrup and cook on low heat. Stir in thick coconut milk and cardamom powder. Fry cashews and raisins in ghee and add them to the payasam. Serve warm.,
"Ridge Gourd, Lentils, Mustard Seeds, Turmeric",Beerakaya Pappu,"Ridge Gourd, Toor Dal, Green Chilies, Tamarind, Mustard Seeds, Curry Leaves, Garlic","Cook toor dal until soft. Peel and chop ridge gourd. Add to the dal along with green chilies and tamarind extract. Simmer until the ridge gourd is tender. Prepare a tempering with mustard seeds, garlic, and curry leaves. Pour over the dal and serve with rice.",
"Black Gram, Rice, Fenugreek Seeds",Minapa Dosa (Urad Dal Dosa),"Black Gram (Urad Dal), Rice, Fenugreek Seeds, Salt","Soak rice and urad dal with fenugreek seeds overnight. Grind into a smooth batter and ferment for 8 hours. Heat a dosa tawa, pour a ladle of batter, and spread it thin. Cook until crisp and golden. Serve with chutney and sambar.",
"Rice, Split Pigeon Peas, Ghee, Mustard Seeds, Curry Leaves",Varan Bhaat,"Toor Dal, Rice, Ghee, Turmeric, Salt, Mustard Seeds, Curry Leaves, Green Chilies","Cook toor dal with turmeric and salt. Mash it well. Cook rice separately. Heat ghee in a pan, add mustard seeds, curry leaves, and green chilies for tempering. Pour the tempering over the dal. Serve with rice and ghee.",
"Flattened Rice, Onions, Potatoes, Mustard Seeds, Turmeric",Kanda Poha,"Poha, Onions, Green Chilies, Mustard Seeds, Turmeric, Curry Leaves, Lemon, Coriander","Rinse poha and drain excess water. Heat oil in a pan, add mustard seeds, curry leaves, and green chilies. Add chopped onions and sauté. Add turmeric and poha. Mix well and cook for a few minutes. Garnish with lemon juice and coriander leaves. Serve hot.",
"Chickpea Flour, Yogurt, Garlic, Mustard Seeds, Curry Leaves",Kadhi,"Yogurt, Gram Flour, Garlic, Curry Leaves, Mustard Seeds, Green Chilies, Turmeric","Whisk yogurt and gram flour together with water. Heat oil in a pan, add mustard seeds, curry leaves, garlic, and green chilies. Add turmeric and pour in the yogurt mixture. Simmer until thickened. Serve with rice.",
"Green Peas, Paneer, Tomatoes, Onions, Spices",Paneer Bhurji,"Paneer, Onions, Tomatoes, Green Peas, Green Chilies, Ginger, Garam Masala, Turmeric","Crumble paneer and keep it aside. Heat oil in a pan, add cumin seeds, onions, and green chilies. Sauté until golden. Add chopped tomatoes and spices. Add green peas and cook. Finally, add crumbled paneer, mix well, and garnish with coriander. Serve with roti or bread.",
"Whole Wheat Flour, Jaggery, Ghee, Poppy Seeds",Modak,"Rice Flour, Jaggery, Coconut, Cardamom Powder, Ghee, Poppy Seeds","Prepare a filling by mixing grated coconut, jaggery, and cardamom powder. Make a dough with rice flour and water. Form small balls, flatten, and fill with the coconut mixture. Shape them into modaks. Steam for 15-20 minutes. Serve with ghee.",
"Wheat Flour, Jaggery, Fennel Seeds",Bhakri,"Wheat Flour, Jowar Flour, Salt, Water","Mix flour, salt, and water to make a firm dough. Divide it into balls and roll them into thick, round discs. Cook on a tawa until both sides are golden brown. Serve with vegetables or chutney.",
"Rice, Buttermilk, Cumin, Ginger, Coriander",Masala Bhaat," Rice, Mixed Vegetables, Ginger-Garlic Paste, Garam Masala, Mustard Seeds, Curry Leaves","Cook rice with vegetables. Heat oil, add mustard seeds, curry leaves, and ginger-garlic paste. Add spices and mix with the cooked rice. Garnish with coriander leaves and serve hot.",
"Gram Flour, Yogurt, Curry Leaves, Mustard Seeds",Pithla Bhakri,"Gram Flour, Yogurt, Curry Leaves, Mustard Seeds, Green Chilies, Turmeric, Garlic","Mix gram flour with water, turmeric, and salt to form a paste. Heat oil in a pan, add mustard seeds, curry leaves, and garlic. Add the gram flour mixture and cook until thickened. Serve with bhakri and chutney.",
"Gram Flour, Curd, Mustard Seeds, Curry Leaves",Gatte Ki Sabzi,"Gram Flour (Besan), Yogurt, Mustard Seeds, Turmeric, Red Chili Powder, Garam Masala, Coriander","Mix gram flour with salt, chili powder, turmeric, and yogurt to form a dough. Roll into cylindrical shapes and boil them. Cut into pieces. Prepare a yogurt-based curry with mustard seeds, red chili powder, and turmeric. Add the boiled gatte and cook for a few minutes. Serve with roti or rice.",
"Wheat Flour, Ghee, Jaggery",Dal Baati Churma,"Wheat Flour, Ghee, Jaggery, Toor Dal, Moong Dal, Masoor Dal, Garlic, Onions, Spices","Knead wheat flour with ghee and water to form stiff dough. Shape into round balls and bake until golden brown. Cook a mix of lentils with garlic, onions, and spices for the dal. Prepare churma by crushing baked baatis and mixing with ghee and jaggery. Serve together.",
"Green Gram Flour, Curd, Mustard Seeds",Rajasthani Kadhi,"Gram Flour, Yogurt, Mustard Seeds, Turmeric, Red Chilies, Curry Leaves, Fenugreek Seeds","Whisk yogurt with gram flour and water. Heat oil in a pan, add mustard seeds, fenugreek seeds, red chilies, and curry leaves. Add turmeric and then pour the yogurt mixture. Simmer until thickened. Serve with rice.",
"Wheat Flour, Jaggery, Ghee",Ghevar,"All-Purpose Flour, Sugar, Milk, Ghee, Cardamom Powder, Saffron, Almonds","Mix flour, ghee, and milk to make a smooth batter. Heat ghee in a deep pan, pour the batter in a circular motion to form a honeycomb-like texture. Fry until golden brown. Prepare sugar syrup and soak the ghevar. Garnish with almonds and saffron. Serve chilled.",
"Gram Flour, Yogurt, Mustard Seeds",Besan Bhindi,"b Ladyfinger (Bhindi), Gram Flour, Yogurt, Mustard Seeds, Turmeric, Red Chili Powder, Cumin Seeds","Wash and slit the ladyfinger. Mix gram flour, yogurt, and spices. Heat oil in a pan, add mustard seeds and cumin seeds. Add the bhindi and cook until tender. Coat with the gram flour mixture and sauté until golden brown. Serve with chapati.",
"Green Gram, Wheat Flour, Spices",Moong Dal Halwa,"Moong Dal, Ghee, Sugar, Cardamom Powder, Almonds, Cashews, Milk","Soak and grind moong dal into a paste. Heat ghee in a pan, cook the paste until golden brown. Add milk, sugar, and cardamom powder. Stir until the mixture thickens. Garnish with almonds and cashews. Serve warm.",
"Bajra Flour, Ghee, Buttermilk",Bajra Roti with Lehsun Chutney,"Bajra Flour, Salt, Water, Garlic, Red Chilies, Mustard Oil","Knead bajra flour with water and salt. Form into rotis and cook on a tawa. For chutney, grind garlic and red chilies with salt and mustard oil. Serve the roti with chutney and ghee.",
"Eggs, Milk, Cheese, Vegetables",Quiche Lorraine,"Eggs, Heavy Cream, Milk, Gruyère Cheese, Bacon, Onions, Salt, Pepper, Pie Crust","Preheat oven to 180°C. Cook bacon and onions until golden. In a bowl, whisk eggs, cream, milk, salt, and pepper. Place pie crust in a tart pan. Spread bacon and onions on the crust, pour the egg mixture, and top with cheese. Bake for 35-40 minutes. Let it cool slightly before serving.",
"Beef, Carrots, Red Wine, Onions",Boeuf Bourguignon,"Beef Chuck, Red Wine, Carrots, Onions, Garlic, Thyme, Bay Leaves, Mushrooms, Bacon, Flour","Cut the beef into chunks. Brown the beef and bacon in a pot. Add onions, garlic, and carrots. Sprinkle flour to coat, then add red wine and broth. Add thyme and bay leaves. Simmer for 3 hours. Serve with crusty bread or mashed potatoes.",
"Potatoes, Cream, Garlic, Cheese",Gratin Dauphinois,"Potatoes, Heavy Cream, Garlic, Gruyère Cheese, Nutmeg, Butter, Salt, Pepper","Preheat oven to 180°C. Slice potatoes thinly. Rub a baking dish with garlic and butter. Layer potatoes, adding cream, cheese, nutmeg, salt, and pepper. Repeat until full. Bake for 1 hour until golden and bubbly. Serve warm.",
